1500 steps, 10000 repititions, hazard 0.030000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R270		38	46	46	45	38	29	35	35	41	44	50
R271		41	42	39	40	48	44	52	37	33	41	36
R272		41	35	46	39	36	46	30	46	46	44	34
R273		42	32	43	40	42	48	45	37	28	42	44
R274		36	39	32	39	48	29	35	41	39	34	47
R275		33	39	38	42	39	40	45	43	42	47	45
R276		32	38	47	39	30	33	46	37	37	42	32
R277		36	47	44	41	40	34	36	41	49	30	30
R278		34	34	33	46	42	28	46	53	45	38	42
R279		37	38	42	38	42	35	34	45	43	31	32
R280		34	40	38	48	31	44	42	48	48	40	36
R281		34	37	32	43	36	34	41	42	36	35	36
R282		33	44	42	42	38	50	39	44	46	41	40
R283		36	43	41	38	35	29	39	35	33	39	45
R284		36	37	44	49	37	41	39	43	34	35	44
R285		37	34	35	37	35	41	38	40	43	40	37
R286		39	36	43	41	33	46	42	38	45	37	46
R287		41	39	40	39	34	35	28	40	45	41	50
R288		42	39	35	43	48	31	38	41	45	36	35
R289		41	41	30	33	37	34	40	31	39	31	50
R290		43	36	34	41	42	39	45	45	22	45	30
R291		43	35	39	34	33	42	28	42	41	37	41
R292		41	32	31	48	45	32	42	47	43	37	43
R293		43	37	38	44	46	41	32	29	45	43	38
R294		40	36	42	37	43	41	36	44	39	38	38
R295		38	40	38	36	45	42	47	32	40	51	40
R296		41	38	37	37	44	31	39	38	49	41	44
R297		34	44	39	37	47	35	46	43	40	31	44
R298		36	35	42	28	42	39	52	39	46	48	38
R299		38	44	42	38	40	48	46	36	42	30	45
R300		33	38	41	39	49	40	47	44	40	43	28
R301		31	35	39	32	38	46	36	50	33	44	38
R302		41	32	36	44	31	37	26	41	38	43	46
R303		40	36	39	32	44	40	44	39	40	39	41
R304		39	43	37	39	39	44	39	40	42	45	38
R305		39	36	43	43	41	38	42	35	44	52	28
R306		38	44	42	33	45	48	38	34	43	40	36
R307		43	38	39	47	42	32	41	41	38	45	37
R308		37	43	36	45	36	42	35	38	39	38	43
R309		38	47	40	38	40	23	39	43	43	40	43
R310		38	36	39	45	46	35	40	32	23	43	32
R311		39	33	41	41	41	41	46	50	40	35	37
R312		32	45	45	37	35	24	44	42	34	43	47
