500 steps, 10000 repititions, hazard 0.030000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R261		12	14	15	8	10	12	14	16	18	0	11
R262		13	10	12	12	10	6	14	16	18	10	0
R263		13	18	15	12	10	12	7	8	9	10	11
R264		15	14	9	8	0	12	14	8	9	10	11
R265		11	12	6	12	10	12	7	8	18	10	11
R266		12	14	3	12	15	18	0	16	9	10	11
R267		14	8	15	4	10	6	7	8	0	10	0
R268		13	10	12	8	10	12	0	16	18	10	11
R269		11	16	9	12	10	6	7	16	9	10	0
R270		12	6	12	16	10	12	14	16	9	10	11
R271		11	12	9	12	15	12	14	16	18	10	11
R272		12	12	9	12	10	12	14	8	9	10	11
R273		12	14	12	16	0	18	7	8	18	10	11
R274		15	12	12	16	15	6	7	8	9	10	0
R275		14	12	12	8	10	6	7	0	9	0	11
R276		7	12	9	16	15	12	0	8	9	10	11
R277		14	14	15	16	10	12	14	16	18	10	0
R278		15	14	9	4	10	0	7	16	9	0	11
R279		13	14	12	12	10	6	14	8	18	10	0
R280		11	14	12	8	10	6	7	16	9	10	11
R281		13	12	12	16	10	12	7	8	18	10	11
R282		12	12	9	12	15	12	14	8	18	10	11
R283		9	12	12	16	10	12	7	8	0	0	11
R284		12	12	12	16	15	12	14	8	18	10	11
R285		10	12	12	16	10	6	14	8	9	10	11
R286		12	8	12	12	10	12	7	8	9	10	0
R287		9	12	9	12	15	18	7	0	0	10	11
R288		12	14	9	12	10	12	7	8	9	10	11
R289		11	12	12	16	10	18	0	0	0	10	11
R290		13	16	12	8	15	6	14	8	9	0	11
R291		15	8	9	12	10	12	14	8	9	0	11
R292		6	10	15	16	15	12	0	8	18	10	0
R293		11	12	6	12	5	12	7	16	18	0	11
R294		15	14	15	12	10	12	7	16	18	10	11
R295		11	12	9	8	15	6	14	8	9	10	11
R296		14	10	15	8	10	18	14	8	18	10	11
R297		13	12	15	16	15	12	7	16	9	10	11
R298		12	16	9	16	10	12	14	8	9	10	0
R299		14	14	9	12	15	12	0	16	9	10	11
R300		12	6	12	16	5	12	14	0	0	10	11
R301		11	10	15	8	15	12	7	8	9	10	11
R302		13	8	9	16	15	12	14	8	18	10	0
R303		9	12	6	12	10	12	14	16	9	10	11
R304		12	14	9	16	10	18	14	16	9	10	0
R305		12	12	12	8	0	6	7	8	9	0	11
R306		12	12	12	8	15	12	0	16	9	10	0
R307		10	16	9	16	15	18	14	8	9	10	11
R308		11	12	15	12	10	6	14	8	9	10	11
R309		11	14	6	12	15	12	14	16	0	10	11
R310		7	12	12	12	5	12	7	8	18	10	11
R311		13	14	6	8	15	12	7	8	9	0	0
R312		13	12	9	8	15	18	7	8	18	0	11
R313		10	10	12	16	0	18	14	16	9	10	11
R314		13	10	15	8	10	6	7	8	9	10	0
R315		11	16	12	16	10	12	14	8	18	0	11
R316		14	10	15	8	15	6	14	16	18	10	11
R317		14	10	9	16	5	6	14	0	18	10	11
R318		14	6	3	12	15	6	7	8	9	0	11
R319		13	10	9	12	10	18	7	8	0	10	0
R320		11	14	12	16	10	12	14	0	9	10	11
R321		11	12	12	12	10	12	14	8	9	10	11
R322		16	12	18	4	10	12	7	8	9	10	0
R323		10	10	12	8	15	18	7	8	9	10	11
R324		12	14	6	8	15	12	14	8	9	10	11
R325		9	12	9	12	10	18	14	8	9	10	0
R326		12	18	12	8	10	18	14	0	9	10	11
R327		16	14	15	12	15	12	14	0	0	10	11
R328		10	14	15	16	10	12	0	16	9	10	11
R329		13	8	12	12	15	12	14	8	18	0	11
R330		11	10	15	4	5	12	14	8	18	10	0
R331		10	12	15	16	10	12	7	8	9	10	11
R332		13	12	12	4	10	0	14	16	18	10	11
R333		14	12	9	16	10	18	14	16	9	10	11
R334		13	12	9	12	15	18	14	8	18	0	0
R335		11	10	15	16	15	12	7	16	9	10	11
R336		11	10	9	8	10	12	14	8	18	10	11
R337		13	14	15	8	10	12	7	16	9	10	11
R338		15	10	12	12	10	12	7	8	18	10	11
R339		12	12	18	12	10	6	7	8	9	10	11
R340		14	10	12	12	5	18	14	16	18	10	11
R341		12	12	12	4	10	18	14	16	18	10	11
R342		12	10	9	12	15	12	7	8	18	10	11
R343		12	14	9	8	15	6	14	8	18	10	11
R344		12	12	18	12	5	12	7	16	9	10	11
R345		12	16	9	12	5	12	14	8	18	10	11
R346		15	14	15	12	15	12	14	8	9	10	11
R347		11	6	15	16	10	12	14	16	9	10	11
R348		14	14	9	12	10	12	7	16	0	10	11
R349		11	14	9	16	10	12	14	8	9	10	0
R350		12	14	15	16	10	18	14	8	18	10	11
R351		11	12	15	16	10	18	7	8	9	10	11
R352		13	12	12	16	15	6	14	8	9	0	11
R353		12	14	15	8	15	12	0	8	9	0	11
R354		12	14	12	12	10	6	14	16	18	10	11
R355		11	16	12	12	15	12	14	8	9	10	11
R356		11	10	12	16	5	18	7	0	18	10	11
R357		12	14	15	16	15	18	14	16	18	0	11
R358		9	6	9	12	15	0	7	8	9	10	11
R359		10	10	3	12	10	6	14	16	9	0	11
R360		11	14	15	12	10	12	14	8	9	10	11
R361		11	10	6	8	5	6	14	8	0	0	11
R362		15	10	9	16	10	18	7	16	0	10	11
R363		10	12	9	8	10	12	14	8	9	10	11
R364		12	10	12	12	10	12	14	16	9	0	11
R365		14	12	9	12	10	12	14	8	9	10	11
R366		14	12	15	16	15	12	0	16	18	10	11
R367		11	12	15	12	10	12	14	8	18	10	11
R368		13	16	9	4	15	6	7	16	9	10	0
R369		11	10	12	12	15	12	14	16	9	10	0
R370		11	14	9	12	10	0	7	8	18	10	11
R371		12	12	15	12	10	6	14	16	18	10	11
R372		14	14	15	8	10	18	7	8	9	10	11
R373		11	12	15	8	15	18	14	0	18	10	11
R374		10	12	12	8	10	12	7	8	18	0	11
R375		14	12	12	16	10	18	7	16	18	0	11
R376		13	14	9	12	15	12	14	16	9	10	11
R377		12	16	12	12	10	12	7	8	9	10	11
R378		11	18	12	8	15	12	7	16	18	10	11
R379		13	12	12	8	10	6	14	16	9	10	11
R380		10	16	15	8	10	18	7	8	9	0	11
R381		8	14	15	12	10	12	0	16	0	10	11
R382		12	10	9	16	10	12	14	8	18	0	11
R383		15	14	15	16	15	0	14	16	18	10	11
R384		14	8	9	12	5	12	14	8	9	10	11
R385		15	8	15	12	10	6	7	0	0	0	11
R386		13	12	9	8	10	6	7	16	9	0	11
R387		10	14	12	8	15	18	7	8	9	10	11
R388		14	16	9	4	10	12	14	8	0	10	0
R389		13	14	15	16	15	12	7	8	9	10	0
R390		7	12	12	12	15	12	0	16	18	10	11
R391		10	10	12	16	10	12	7	16	9	10	0
R392		13	6	12	12	10	12	14	16	9	10	11
R393		10	12	9	16	15	6	7	16	9	10	11
R394		11	12	18	12	10	12	14	8	9	10	11
R395		10	12	6	8	10	12	14	16	9	10	11
R396		11	14	15	16	15	12	7	8	0	0	11
R397		14	10	12	16	15	12	14	8	9	10	11
R398		12	12	9	16	15	6	14	16	9	10	11
R399		14	16	15	16	10	12	14	16	9	10	11
R400		12	16	15	8	15	12	7	16	18	10	11
R401		13	12	15	8	5	12	7	16	18	10	0
R402		14	10	15	8	5	18	7	8	9	10	11
R403		12	8	6	12	15	18	14	8	18	10	11
R404		14	14	12	12	15	12	7	8	9	10	11
